,Ausleihzentrum Schloss Westflügel,Bibliotheks­bereich A3,Bibliotheks­bereich A5,Bibliotheks­bereich Schloss Ehrenhof,Bibliotheks­bereich Schloss Schneckenhof
2024-02-11 14:44:29.530872,Keine Arbeits­plätze vorhanden,40 %,22 %,31 %,24 %
2024-02-11 14:46:09.862237,Keine Arbeits­plätze vorhanden,41 %,21 %,32 %,23 %
2024-02-11 18:27:36.180731,Keine Arbeits­plätze vorhanden,25 %,15 %,27 %,20 %
2024-02-12 00:22:13.147027,Keine Arbeits­plätze vorhanden,0 %,0 %,0 %,0 %
2024-02-15 15:04:46.162825,Keine Arbeits­plätze vorhanden,81 %,77 %,22 %,63 %
2024-02-15 15:05:21.019317,Keine Arbeits­plätze vorhanden,81 %,77 %,22 %,63 %
